latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,index_right,osm_id,osm_type,facility_type,name,operator,distance_to_facility_m,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,distance_to_facility_km,industrial_facility_present,facility_type_code,day_of_year,month,year,hour,is_day,is_forest_fire_season,is_stubble_burning_season,brightness_difference,frp_brightness_ratio,log_frp,confidence_numeric,is_n20,is_suomi_npp,grid_lat,grid_lon,grid_id,grid_active_days,grid_detection_count,grid_total_frp,grid_brightness_mean,grid_brightness_std,grid_frp_mean,grid_frp_std,grid_n,brightness_zscore_local,frp_zscore_local,used_local_baseline,high_brightness_flag_local,high_frp_flag_local,persistent_location_flag,row_id,landcover_code,landcover_class,weak_label,predicted_class,predicted_class_confidence
13.06476,80.18575,306.06,0.46,0.39,2024-11-04,2025,N20,VIIRS,n,2.0NRT,293.85,2.09,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,135972.093741403,0,0,0,0,135.972093741403,1,4,309,11,2024,20,0,0,1,12.20999999999998,0.00682872639351761,1.128171090909654,1.0,1,0,13.06,80.18,13.06_80.18,6,7,5.2,303.98285714285714,2.463112626236104,0.7428571428571429,0.5984901638209905,7,0.8432999916520072,2.2509022513288786,1,0,1,1,10,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.8352455576034651
9.29705,79.31593,329.73,0.59,0.53,2024-11-05,730,N20,VIIRS,n,2.0NRT,295.11,2.52,D,VIIRS_N20,5,100005,node,Warehouse/Depot,Logistics Hub #6,,138617.32373156992,0,0,0,0,138.6173237315699,1,4,310,11,2024,7,1,0,1,34.620000000000005,0.007642616686379765,1.2584609896100056,1.0,1,0,9.290000000000001,79.31,9.29_79.31,1,1,2.52,329.73,,2.52,,1,0.7457515795855557,0.08969876706731648,0,0,0,0,11,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.5427804559205364
13.2005,79.68807,331.87,0.48,0.48,2024-11-05,730,N20,VIIRS,n,2.0NRT,298.38,3.07,D,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,105557.61660494178,0,0,0,0,105.55761660494178,1,4,310,11,2024,7,1,0,1,33.49000000000001,0.009250610178684424,1.4036429994545037,1.0,1,0,13.200000000000001,79.68,13.2_79.68,1,1,3.07,331.87,,3.07,,1,0.8845115438091596,0.33067897969549936,0,0,0,0,12,80.0,Permanent water bodies,Other/Unclassified,Agricultural Burning,0.8611231651971967
12.7964,79.38124,334.25,0.51,0.49,2024-11-05,730,N20,VIIRS,n,2.0NRT,294.0,2.81,D,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,49681.2045931656,0,0,0,0,49.6812045931656,1,4,310,11,2024,7,1,0,1,40.25,0.008406881077038145,1.3376291891386096,1.0,1,0,12.790000000000001,79.38,12.79_79.38,1,1,2.81,334.25,,2.81,,1,1.0388333731793367,0.21676106099854026,0,0,0,0,13,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9725255637752255
11.71039,79.35712,331.85,0.53,0.5,2024-11-05,730,N20,VIIRS,n,2.0NRT,297.89,2.31,D,VIIRS_N20,12,100012,node,Power Plant,Thermal Power Station #13,,45563.73862879325,0,0,0,0,45.56373862879325,1,1,310,11,2024,7,1,0,1,33.960000000000036,0.006960976344734067,1.1969481893889715,1.0,1,0,11.71,79.35000000000001,11.71_79.35,1,1,2.31,331.85,,2.31,,1,0.883214721713613,-0.0023118595725351806,0,0,0,0,14,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.5674753854152151
10.65226,78.76717,336.8,0.61,0.53,2024-11-05,730,N20,VIIRS,n,2.0NRT,295.25,7.76,D,VIIRS_N20,20,100020,node,Chemical,Chemical Processing Unit #21,,31990.164356835707,0,0,0,0,31.990164356835706,1,9,310,11,2024,7,1,0,1,41.55000000000001,0.023040380047505936,2.1701959049483,1.0,1,0,10.65,78.76,10.65_78.76,1,1,7.76,336.8,,7.76,,1,1.2041781903616702,2.385582974652187,0,0,1,0,15,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9489515424791525
10.44508,79.01453,338.77,0.59,0.53,2024-11-05,730,N20,VIIRS,n,2.0NRT,296.08,4.65,D,VIIRS_N20,3,100003,node,Oil & Gas,Petroleum Refinery #4,,30504.303976393083,0,0,0,0,30.504303976393082,1,7,310,11,2024,7,1,0,1,42.69,0.013726126870738261,1.7316555451583497,1.0,1,0,10.44,79.01,10.44_79.01,2,2,8.72,334.015,6.724585489084061,4.36,0.4101219330881976,2,1.3319151667731175,1.022949408700098,0,0,0,0,16,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.47915582299670895
13.39262,80.10134,309.67,0.41,0.37,2024-11-05,2004,N20,VIIRS,n,2.0NRT,294.2,1.09,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,151163.26265598112,0,0,0,0,151.16326265598113,1,4,310,11,2024,20,0,0,1,15.470000000000027,0.0035198759970290956,0.7371640659767197,1.0,1,0,13.39,80.10000000000001,13.39_80.1,10,21,22.85,306.8885714285714,3.8878326683568587,1.0880952380952382,0.5611026559161795,21,0.7154187972303154,0.003394676330041106,1,0,0,1,17,40.0,Cropland,Other/Unclassified,Other/Unclassified,0.7824055939812175
13.39318,80.0746,307.13,0.41,0.37,2024-11-05,2004,N20,VIIRS,n,2.0NRT,293.17,0.93,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,149156.77478563105,0,0,0,0,149.15677478563106,1,4,310,11,2024,20,0,0,1,13.95999999999998,0.0030280337316445807,0.6575200029167941,1.0,1,0,13.39,80.07000000000001,13.39_80.07,3,5,2.66,306.43600000000004,1.9684714882365275,0.532,0.24863628053846043,5,0.35255781155442895,1.6007317964138994,1,0,0,1,18,40.0,Cropland,Other/Unclassified,Agricultural Burning,0.5472299352595749
13.16125,80.28574,306.53,0.4,0.37,2024-11-05,2004,N20,VIIRS,n,2.0NRT,294.31,2.17,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,150857.21697287934,0,0,0,0,150.85721697287934,1,4,310,11,2024,20,0,0,1,12.21999999999997,0.007079241836035625,1.1537315878891892,1.0,1,0,13.16,80.28,13.16_80.28,13,23,29.58,306.30347826086955,3.394288797773065,1.286086956521739,0.5416619134280146,23,0.06673614198032769,1.6318537847422987,1,0,0,1,19,40.0,Cropland,Other/Unclassified,Other/Unclassified,0.8037118050637347
