event_id,retry_pre_attempted,pre_status,attempts_pre,retry_post_attempted,post_status,attempts_post,overall_status,is_real_cdse_data,error_category,timestamp
FIRMS_TN_0409,False,MISSING_PRODUCT,0,True,REAL_CDSE_SUCCESS,1,PARTIAL_POST_ONLY,True,,2026-09-05T17:46:36Z
FIRMS_TN_0410,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:38Z
FIRMS_TN_0411,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:40Z
FIRMS_TN_0412,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:41Z
FIRMS_TN_0415,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:43Z
FIRMS_TN_0417,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:45Z
FIRMS_TN_0420,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:47Z
FIRMS_TN_0421,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:49Z
FIRMS_TN_0423,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:46:51Z
FIRMS_TN_0427,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:46:55Z
FIRMS_TN_0428,True,REAL_CDSE_SUCCESS,1,True,CLOUD_REJECTED,1,PARTIAL_PRE_ONLY,True,,2026-09-05T17:46:59Z
FIRMS_TN_0429,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:47:03Z
FIRMS_TN_0430,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:47:05Z
FIRMS_TN_0432,False,MISSING_PRODUCT,0,True,REAL_CDSE_SUCCESS,1,PARTIAL_POST_ONLY,True,,2026-09-05T17:47:07Z
