event_id,processing_status,pre_event_status,post_event_status,is_real_cdse_data,processing_timestamp,error_category
FIRMS_TN_0041,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:22:58Z,CLOUD_REJECTED
FIRMS_TN_0042,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:23:05Z,CLOUD_REJECTED
FIRMS_TN_0043,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:23:08Z,CLOUD_REJECTED
FIRMS_TN_0044,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:23:12Z,CLOUD_REJECTED
FIRMS_TN_0045,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:23:15Z,MISSING_PRODUCT
FIRMS_TN_0046,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:23:19Z,
FIRMS_TN_0047,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:23:22Z,
FIRMS_TN_0048,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:23:26Z,CLOUD_REJECTED
FIRMS_TN_0049,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:23:32Z,CLOUD_REJECTED
FIRMS_TN_0050,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:23:36Z,CLOUD_REJECTED
FIRMS_TN_0051,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:23:40Z,CLOUD_REJECTED
FIRMS_TN_0052,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:23:43Z,
FIRMS_TN_0053,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:23:48Z,MISSING_PRODUCT
