event_id,latitude,longitude,firms_acq_date,candidate_priority,landcover_class,frp,smoketest_status,is_real_cdse_data,failure_reason,aoi_dimensions_m,raster_dimensions_px,bands_requested,selected_pre_image_date,pre_product_id,pre_product_name,pre_tile_id,pre_cloud_cover_catalogue,pre_observation_status,pre_observation_failure_reason,selected_post_image_date,post_product_id,post_product_name,post_tile_id,post_cloud_cover_catalogue,post_observation_status,post_observation_failure_reason,pre_obs_date,pre_raster_dimensions,pre_bands_requested,pre_scl_valid_pixels,pre_scl_valid_pct,post_obs_date,post_raster_dimensions,post_bands_requested,post_scl_valid_pixels,post_scl_valid_pct,s2_pre_feature_status,s2_post_feature_status,s2_pre_feature_failure_reason,s2_post_feature_failure_reason,s2_pre_spectral_valid_pixels,s2_post_spectral_valid_pixels,s2_pre_spectral_valid_pct,s2_post_spectral_valid_pct,s2_pre_ndvi_mean,s2_post_ndvi_mean,s2_pre_ndvi_median,s2_post_ndvi_median,s2_pre_nbr_mean,s2_post_nbr_mean,s2_pre_nbr_median,s2_post_nbr_median,s2_pre_ndwi_mean,s2_post_ndwi_mean,s2_pre_ndwi_median,s2_post_ndwi_median,s2_pre_swir_ratio_mean,s2_post_swir_ratio_mean,s2_pre_swir_ratio_median,s2_post_swir_ratio_median,s2_pre_b04_mean,s2_post_b04_mean,s2_pre_b08_mean,s2_post_b08_mean,s2_pre_b11_mean,s2_post_b11_mean,s2_pre_b12_mean,s2_post_b12_mean,s2_change_status,s2_change_failure_reason,s2_dndvi_mean,s2_abs_dndvi_mean,s2_dndvi_median,s2_abs_dndvi_median,s2_dnbr_mean,s2_abs_dnbr_mean,s2_dnbr_median,s2_abs_dnbr_median,s2_dndwi_mean,s2_abs_dndwi_mean,s2_dndwi_median,s2_abs_dndwi_median,s2_dswir_ratio_mean,s2_abs_dswir_ratio_mean,s2_dswir_ratio_median,s2_abs_dswir_ratio_median
FIRMS_TN_0007,11.18312,79.09965,2024-11-04,HIGH,Built-up,1.23,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-29T05:08:39.024000Z,0fac1335-d084-46ab-a81f-d2435afe4a07,S2B_MSIL2A_20241029T050839_N0511_R019_T44PKT_20241029T073358.SAFE,T44PKT,5.90982,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-10T05:00:31.024000Z,0d5ec360-2362-4138-885e-502f59cb421b,S2A_MSIL2A_20241110T050031_N0511_R119_T44PKT_20241110T082750.SAFE,T44PKT,9.225395,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-29T05:08:39.024000Z,50x50,"SCL, B04, B08, B11, B12",0,0.0,2024-11-10T05:00:31.024000Z,50x50,"SCL, B04, B08, B11, B12",0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0087,11.18143,79.0966,2024-12-04,HIGH,Cropland,1.08,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,MISSING_PRODUCT,No usable pre-event product was matched in catalogue search.,2024-12-08T05:11:19.024000Z,d78f129c-2ac5-4fce-842c-814b32da653a,S2B_MSIL2A_20241208T051119_N0511_R019_T44PKT_20241208T075639.SAFE,T44PKT,26.985562,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,50x50,"SCL, B04, B08, B11, B12",0,0.0,2024-12-08T05:11:19.024000Z,50x50,"SCL, B04, B08, B11, B12",0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0001,9.29417,79.06924,2024-11-02,HIGH,Tree cover,5.15,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-31T04:59:41.024000Z,95a3c91d-8b60-4d1e-a0cd-6cc7a520a7ca,S2A_MSIL2A_20241031T045941_N0511_R119_T44PKR_20241031T090153.SAFE,T44PKR,29.073372,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-05T04:59:09.024000Z,d3f1d7f5-1ef2-4f47-9a87-02c6c5ab5104,S2B_MSIL2A_20241105T045909_N0511_R119_T44PKR_20241105T072318.SAFE,T44PKR,24.038155,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-31T04:59:41.024000Z,50x50,"SCL, B04, B08, B11, B12",0,0.0,2024-11-05T04:59:09.024000Z,50x50,"SCL, B04, B08, B11, B12",0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0297,12.03586,79.81428,2025-01-08,HIGH,Tree cover,13.34,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2025-01-04T05:01:19.024000Z,d63e0c34-c73a-430d-80b5-43c855a06830,S2B_MSIL2A_20250104T050119_N0511_R119_T44PLU_20250104T132122.SAFE,T44PLU,15.663002,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2025-01-04T05:01:19.024000Z,50x50,"SCL, B04, B08, B11, B12",0,0.0,,50x50,"SCL, B04, B08, B11, B12",0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
