experiment,model_name,macro_f1_oof,macro_f1_cv_mean,macro_f1_cv_std,balanced_accuracy_oof,balanced_accuracy_cv_mean,balanced_accuracy_cv_std,accuracy_oof,industrial_recall,industrial_precision,industrial_f1,agricultural_recall,agricultural_precision,agricultural_f1,natural_other_recall,natural_other_precision,natural_other_f1,confusion_matrix,delta_macro_f1_vs_baseline,delta_bal_acc_vs_baseline
Baseline,Random Forest,0.7772,0.7594,0.1312,0.7693,0.7733,0.1183,0.8553,0.9333,0.875,0.9032,0.92,0.8846,0.902,0.4545,0.625,0.5263,"[[14, 1, 0], [1, 46, 3], [1, 5, 5]]",0.0,0.0
Baseline,Extra Trees,0.7648,0.7769,0.07,0.7626,0.7667,0.0437,0.8421,0.9333,0.875,0.9032,0.9,0.8824,0.8911,0.4545,0.5556,0.5,"[[14, 1, 0], [1, 45, 4], [1, 5, 5]]",0.0,0.0
Baseline,HistGradientBoosting,0.6599,0.6594,0.1479,0.6651,0.6711,0.1337,0.7895,0.9333,0.875,0.9032,0.88,0.8302,0.8544,0.1818,0.2857,0.2222,"[[14, 1, 0], [1, 44, 5], [1, 8, 2]]",0.0,0.0
Sentinel-2 Enhanced,Random Forest,0.7531,0.7187,0.1283,0.756,0.76,0.1288,0.8289,0.9333,0.875,0.9032,0.88,0.88,0.88,0.4545,0.5,0.4762,"[[14, 1, 0], [1, 44, 5], [1, 5, 5]]",-0.0241,-0.0133
Sentinel-2 Enhanced,Extra Trees,0.7245,0.6907,0.126,0.7154,0.7244,0.1211,0.8421,0.9333,0.875,0.9032,0.94,0.8545,0.8952,0.2727,0.6,0.375,"[[14, 1, 0], [1, 47, 2], [1, 7, 3]]",-0.0403,-0.0472
Sentinel-2 Enhanced,HistGradientBoosting,0.6765,0.6492,0.1567,0.6784,0.6844,0.174,0.8158,0.9333,0.875,0.9032,0.92,0.8364,0.8762,0.1818,0.4,0.25,"[[14, 1, 0], [1, 46, 3], [1, 8, 2]]",0.0166,0.0133
