latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,row_id,landcover_code,landcover_class,osm_coverage_status,distance_to_facility_m,distance_to_facility_km,nearest_facility_osm_id,nearest_facility_osm_type,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,near_industrial_10000m,distance_to_higher_relevance_m,distance_to_higher_relevance_km,nearest_hr_osm_id,nearest_hr_name,nearest_hr_category,near_higher_relevance_500m,near_higher_relevance_1000m,near_higher_relevance_2000m,near_higher_relevance_5000m,near_higher_relevance_10000m,distance_to_general_context_m
12.7964,79.38124,334.25,0.51,0.49,2024-11-05,730,N20,VIIRS,n,2.0NRT,294.0,2.81,D,VIIRS_N20,13,40,Cropland,FAILED_TILE,75113.59616349725,75.11359616349725,342136913,way,Rajanthangal,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,76054.15015622247,76.05415015622248,705173099,Sree Amman Transformer Works,Manufacturing & Industrial Works,0,0,0,0,0,84905.35621533814
11.71039,79.35712,331.85,0.53,0.5,2024-11-05,730,N20,VIIRS,n,2.0NRT,297.89,2.31,D,VIIRS_N20,14,10,Tree cover,COVERED,8712.110941951185,8.712110941951185,1202696878,way,Tirunavalur,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,1,16822.24780096521,16.82224780096521,1119513114,,Mining & Quarry,0,0,0,0,0,14361.474695886312
10.65226,78.76717,336.8,0.61,0.53,2024-11-05,730,N20,VIIRS,n,2.0NRT,295.25,7.76,D,VIIRS_N20,15,30,Grassland,COVERED,210.59241393088732,0.21059241393088732,375950947,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,1,1,1,1,1,4298.344321437069,4.298344321437069,1009648240,,Power Plant,0,0,0,1,1,210.59241393088732
10.44508,79.01453,338.77,0.59,0.53,2024-11-05,730,N20,VIIRS,n,2.0NRT,296.08,4.65,D,VIIRS_N20,16,40,Cropland,COVERED,2312.042233464192,2.312042233464192,1201657684,way,Malaiyur,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,1,1,20487.657911185008,20.487657911185007,986260259,Killanur A,Power Plant,0,0,0,0,0,12420.280579918266
13.39262,80.10134,309.67,0.41,0.37,2024-11-05,2004,N20,VIIRS,n,2.0NRT,294.2,1.09,N,VIIRS_N20,17,20,Shrubland,FAILED_TILE,137472.3642904896,137.47236429048962,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,139036.827665887,139.036827665887,1026841614,,Mining & Quarry,0,0,0,0,0,137472.3642904896
13.39318,80.0746,307.13,0.41,0.37,2024-11-05,2004,N20,VIIRS,n,2.0NRT,293.17,0.93,N,VIIRS_N20,18,10,Tree cover,FAILED_TILE,137211.4624235174,137.2114624235174,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,138352.9746446315,138.3529746446315,1026841614,,Mining & Quarry,0,0,0,0,0,137211.4624235174
13.16125,80.28574,306.53,0.4,0.37,2024-11-05,2004,N20,VIIRS,n,2.0NRT,294.31,2.17,N,VIIRS_N20,19,50,Built-up,FAILED_TILE,116662.36292482239,116.66236292482239,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,122399.52088019278,122.39952088019278,1026841614,,Mining & Quarry,0,0,0,0,0,116662.36292482239
12.64997,77.90159,303.67,0.5,0.41,2024-11-05,2004,N20,VIIRS,n,2.0NRT,290.7,0.53,N,VIIRS_N20,20,20,Shrubland,FAILED_TILE,56594.30644426172,56.59430644426172,425335457,way,Palavadi,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,73025.59506710271,73.02559506710271,1536206840,HPCL Dharmapuri Terminal,"Oil, Gas & Chemical",0,0,0,0,0,64937.509205358976
12.65149,77.90409,307.14,0.5,0.41,2024-11-05,2004,N20,VIIRS,n,2.0NRT,290.66,0.73,N,VIIRS_N20,21,20,Shrubland,FAILED_TILE,56674.718976831464,56.674718976831464,425335457,way,Palavadi,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,73100.40475847271,73.1004047584727,1536206840,HPCL Dharmapuri Terminal,"Oil, Gas & Chemical",0,0,0,0,0,64993.81824692595
11.18193,79.09972,305.49,0.42,0.38,2024-11-05,2004,N20,VIIRS,n,2.0NRT,293.98,0.89,N,VIIRS_N20,22,50,Built-up,COVERED,425.9234002300185,0.4259234002300185,340697977,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,726.5055409951971,0.726505540995197,1468887795,,Power Plant,0,1,1,1,1,761.7616826054219
10.44399,79.01185,329.26,0.65,0.73,2024-11-06,852,N20,VIIRS,n,2.0NRT,296.96,4.07,D,VIIRS_N20,23,20,Shrubland,COVERED,2528.538019187664,2.5285380191876636,1201657684,way,Malaiyur,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,1,1,20356.00481041904,20.35600481041904,986260259,Killanur A,Power Plant,0,0,0,0,0,12124.219538730795
